CardholderID,First Name,Last Name,Gender,ATMID,Birth Date,Occupation,AccountType,IsWisabi
AN-005-1041,Christiana,Afolabi,M,AN-005,10/7/1997,Electrician,Current,0
BG-009-1057,Ugochukwu,Chukwu,F,BG-009,12/21/1998,Health Professional,Current,1
VC-008-1163,Bashir,Shehu,F,VC-008,6/12/1980,Human Resources Specialist,Current,0
BG-008-1059,Nneka,Nwankwo,F,BG-008,11/8/2001,Health Professional,Savings,1
AN-006-1030,Oluwagbemiga,Oluwatomi,F,AN-006,09/13/2000,Trader,Current,1
AN-005-1030,Daniel,Okoro,M,AN-005,08/28/1992,Engineer,Savings,1
RS-008-1038,Chidimma,Eke,F,RS-008,5/6/1987,Trader,Savings,1
AN-002-1006,Musa,Ibrahim,M,AN-002,07/22/1996,Electrician,Savings,1
AN-004-1027,Rukayya,Maryam,M,AN-004,3/5/1980,Plumber,Current,1
BG-006-1094,Chinedu,Okolie,F,BG-006,1/9/1980,Accountant,Current,1
AN-002-1038,Oluwadamilola,Uzoma,M,AN-002,6/7/1985,Human Resources Specialist,Current,1
VC-008-1182,Salisu,Nasiru,M,VC-008,08/25/2006,Student,Savings,1
BG-009-1045,Obumneme,Okereke,F,BG-009,09/19/1986,Data Analyst,Savings,1
RS-005-1019,Anthony,Wobo,M,RS-005,11/15/1988,Farmer,Savings,1
AN-005-1011,Ruqayya,Fati,F,AN-005,4/9/2003,Trader,Current,1
AN-002-1021,Usman,Abdulsalam,M,AN-002,03/28/1987,Welder,Current,1
BG-001-1052,Chidimma,Nwosu,M,BG-001,08/31/1999,Truck Driver,Current,0
VC-003-1102,Ismaila,Danjuma,M,VC-003,6/6/2000,Trader,Current,1
VC-006-1060,Hassan,Bello,F,VC-006,1/2/1988,Lawyer,Savings,1
RS-008-1027,John,Akobo,M,RS-008,02/26/1988,Human Resources Specialist,Current,1
VC-004-1012,Halima,Ahmed,F,VC-004,07/19/1997,Health Professional,Current,1
AN-005-1039,Akinbode,Onyekachi,F,AN-005,05/18/1988,Trader,Savings,0
AN-005-1043,Christopher,Adebayo,F,AN-005,8/10/1999,Student,Savings,1
BG-006-1008,Chukwuma,Ugochukwu,M,BG-006,11/28/2003,Mechanic,Savings,1
AN-002-1015,Ifeanyi,Obi,M,AN-002,07/23/2001,Student,Savings,0
AN-002-1024,Bello,Maryam,M,AN-002,06/15/1989,Software Developer,Savings,1
AN-005-1005,Babatunde,Adekoya,M,AN-005,03/17/1990,Mechanic,Savings,1
AN-005-1016,Abdullahi,Tijjani,M,AN-005,05/14/1995,Electrician,Current,0
AN-006-1024,Chukwuemeka,Aikhomu,F,AN-006,12/29/1988,Marketing Executive,Savings,1
AT-001-1194,Oluwapelumi,Omolara,M,AT-001,11/21/1994,Mechanic,Savings,1
AT-004-1091,Daniel,Alao,M,AT-004,08/29/2003,Health Professional,Current,1
BG-009-1023,Adaobi,Okezie,F,BG-009,06/20/1989,Manager,Savings,1
AN-003-1015,Shehu,Abdulsalam,F,AN-003,5/1/1993,Trader,Current,1
AT-005-1117,Camillus,Okoye,M,AT-005,10/23/1999,Health Professional,Savings,1
AT-015-1111,Oluwadamilola,Rasaq,M,AT-015,03/14/1995,Construction Worker,Current,1
VC-002-1052,Khadija,Garba,F,VC-002,05/22/1986,Accountant,Current,1
RS-004-1016,Kenneth,Briggs,M,RS-004,02/23/1986,Lawyer,Savings,1
VC-007-1162,Habiba,Amina,M,VC-007,05/25/2008,Student,Savings,1
BG-007-1017,Ikechukwu,Nwabueze,M,BG-007,6/3/1978,Factory Worker,Savings,1
VC-010-1188,Aisha,Sadiq,F,VC-010,12/31/1999,Human Resources Specialist,Savings,1
AT-010-1013,Akindele,Akinola,M,AT-010,2/6/1992,Factory Worker,Savings,1
AN-006-1021,Abdulaziz,Amina,F,AN-006,02/15/1981,Health Professional,Savings,1
AT-006-1244,Ekanem,Egbeyemi,M,AT-006,10/2/1981,Human Resources Specialist,Current,1
BG-006-1055,Amaka,Nwankwo,F,BG-006,2/8/1999,Trader,Current,1
BG-009-1051,Onyinye,Amaechi,F,BG-009,07/30/1993,Lawyer,Current,1
AN-002-1012,Ifeoma,Eze,F,AN-002,10/14/1985,Lawyer,Savings,1
AN-005-1012,Nafisa,Khadija,F,AN-005,08/19/1999,Engineer,Current,1
AT-015-1258,Oluwatobiloba,Odumosu,F,AT-015,10/8/1990,Lawyer,Savings,1
AT-007-1276,Comfort,Eze,M,AT-007,12/15/2005,Student,Savings,0
AT-014-1074,Rukayat,Adebayo,F,AT-014,4/2/2002,Student,Savings,1
VC-005-1145,Zainab,Maryam,M,VC-005,6/3/1983,Lawyer,Savings,1
AT-005-1246,Dora,Ogundele,F,AT-005,03/25/2002,Trader,Savings,0
RS-001-1092,Gabriel,Wobo,F,RS-001,05/17/1993,Trader,Savings,0
AT-004-1092,Durotimi,Oladipo,F,AT-004,4/9/1993,Trader,Savings,1
BG-009-1091,Chiamaka,Okoye,F,BG-009,11/19/2007,Student,Savings,1
AN-006-1020,Danladi,Fadila,F,AN-006,12/14/1988,Engineer,Savings,1
AN-005-1004,Ngozi,Okonkwo,F,AN-005,5/7/2003,Student,Savings,1
AT-011-1248,Ekanem,Oluwakanyinsola,M,AT-011,11/15/1988,Marketing Executive,Savings,1
BG-001-1092,Ifeoma,Nwachukwu,F,BG-001,12/11/1988,Software Developer,Savings,1
VC-007-1202,Yusuf,Hauwa,M,VC-007,5/7/1991,Human Resources Specialist,Savings,1
AN-004-1036,Adeola,Oyebanji,M,AN-004,2/6/1998,Carpenter,Current,1
BG-008-1019,Chinyere,Ojukwu,F,BG-008,07/20/1998,Lawyer,Savings,1
AT-014-1241,Oluwadamilola,Okon,F,AT-014,05/28/1981,Trader,Savings,1
AT-015-1291,Ayodele,Oluwabukola,M,AT-015,10/20/1979,Welder,Savings,1
AT-011-1077,Chisom,Fajimi,F,AT-011,09/29/1990,Data Analyst,Savings,0
VC-004-1066,Suleiman,Garba,F,VC-004,08/23/1999,Trader,Current,1
RS-005-1101,Stanley,Ezeani,M,RS-005,9/10/1987,Factory Worker,Current,1
VC-001-1020,Aisha,Lawal,F,VC-001,08/14/1993,Marketing Executive,Current,1
VC-010-1122,Ibrahim,Danjuma,F,VC-010,12/15/1989,Marketing Executive,Savings,1
AT-015-1131,Nike,Alade,M,AT-015,9/7/2000,Human Resources Specialist,Savings,1
BG-006-1005,Chisom,Emezie,F,BG-006,5/3/1986,Human Resources Specialist,Savings,1
AN-006-1032,Gbenga,Okon,F,AN-006,3/2/1989,Lawyer,Savings,0
BG-004-1092,Ugochi,Okpara,M,BG-004,1/3/2007,Student,Savings,1
RS-004-1014,Isaac,Wobo,M,RS-004,07/16/1989,Engineer,Current,1
BG-004-1091,Ifunanya,Ojukwu,M,BG-004,12/20/1985,Data Analyst,Current,0
AT-009-1250,Adenike,Adeniyi,M,AT-009,02/20/1995,Carpenter,Current,1
AN-006-1022,Shehu,Rakiya,M,AN-006,12/28/1996,Mechanic,Savings,1
AN-006-1031,Oluwakemi,Okon,F,AN-006,11/17/1997,Lawyer,Current,1
VC-006-1193,Amina,Mariam,F,VC-006,10/6/2000,Marketing Executive,Current,1
VC-002-1183,Amina,Abdulkadir,M,VC-002,5/4/1979,Lawyer,Current,1
VC-004-1156,Salma,Bashir,F,VC-004,12/6/2001,Human Resources Specialist,Current,1
BG-009-1089,Chukwudi,Nwachukwu,M,BG-009,12/12/1990,Lawyer,Current,1
RS-007-1062,Ndidi,Briggs,M,RS-007,08/25/1987,Farmer,Current,1
VC-010-1128,Abdulkadir,Bello,F,VC-010,10/31/1989,Human Resources Specialist,Current,1
AN-006-1010,Aliyu,Firdausi,M,AN-006,08/24/1989,Truck Driver,Current,0
AT-001-1235,Cynthia,Dare,F,AT-001,2/8/1993,Engineer,Savings,1
RS-005-1095,Amadi,Brown,M,RS-005,5/4/1993,Software Developer,Current,0
RS-007-1082,Samuel,Okeke,M,RS-007,04/25/1997,Electrician,Current,1
BG-007-1087,Ifeanyi,Uche,M,BG-007,10/9/2000,Student,Savings,1
BG-008-1066,Ebuka,Chukwuma,F,BG-008,03/16/2002,Student,Savings,1
BG-005-1061,Chinonso,Madu,F,BG-005,08/28/1999,Manager,Savings,1
AN-006-1002,Olawale,Adegbite,M,AN-006,12/28/1993,Mechanic,Current,0
RS-002-1027,Chiamaka,Adeolu,F,RS-002,09/23/1991,Lawyer,Current,1
AT-013-1175,Adesola,Makinde,F,AT-013,04/21/1996,Manager,Current,1
AT-006-1181,Deji,Awosika,F,AT-006,9/1/1990,Lawyer,Savings,1
RS-001-1001,Blessing,Obi,F,RS-001,6/10/1999,Human Resources Specialist,Savings,1
VC-002-1055,Shehu,Ahmad,M,VC-002,02/17/2001,Farmer,Savings,1
AT-005-1231,Chidiebube,Oluwapemi,F,AT-005,02/26/1984,Health Professional,Savings,1
AN-003-1011,Shehu,Tijjani,M,AN-003,7/9/1997,Farmer,Savings,0
VC-009-1146,Zainab,Rabi,F,VC-009,1/5/1998,Human Resources Specialist,Savings,1
AN-005-1040,Pamela,Akinwande,M,AN-005,3/11/1987,Construction Worker,Current,1
RS-007-1038,Chiagozie,Ezeani,F,RS-007,11/1/1987,Lawyer,Current,0
RS-007-1102,Adaku,Nwosu,M,RS-007,12/2/1997,Human Resources Specialist,Current,1
VC-006-1022,Halima,Ibrahim,F,VC-006,09/29/1982,Health Professional,Current,1
BG-007-1093,Chikaodi,Amaechi,F,BG-007,6/7/1990,Trader,Savings,1
AT-011-1023,Daniella,Eze,F,AT-011,06/30/2002,Data Analyst,Savings,1
AT-011-1242,Chisom,Aluko,F,AT-011,12/3/1990,Trader,Savings,1
AT-012-1064,Chidimma,Adegbite,M,AT-012,6/5/1986,Mechanic,Savings,0
BG-009-1002,Ikenna,Nnamdi,M,BG-009,11/8/1992,Manager,Savings,1
AN-003-1028,Daniel,Akande,F,AN-003,04/22/1984,Engineer,Savings,1
AN-004-1025,Khadija,Sadiq,M,AN-004,3/4/1996,Farmer,Current,1
VC-004-1072,Rukayya,Hassan,F,VC-004,02/25/2003,Student,Savings,1
RS-005-1119,Mabel,Wike,M,RS-005,10/9/1986,Human Resources Specialist,Savings,1
VC-010-1049,Halima,Aliyu,M,VC-010,6/4/2009,Trader,Current,1
VC-005-1203,Hauwa,Maryam,M,VC-005,12/8/1991,Welder,Current,1
BG-007-1100,Ngozi,Obioha,M,BG-007,06/13/1993,Construction Worker,Savings,1
RS-006-1067,Chijioke,Nduka,M,RS-006,01/27/2000,Welder,Savings,1
BG-002-1050,Chibuzo,Nweke,M,BG-002,06/30/1995,Trader,Current,1
AN-004-1041,Qudus,Adeleke,M,AN-004,02/13/1995,Manager,Savings,0
RS-004-1068,Sunday,Nwachukwu,F,RS-004,04/16/1998,Human Resources Specialist,Savings,1
AT-008-1076,Damilola,Fajimi,M,AT-008,08/20/1994,Software Developer,Current,1
BG-008-1076,Nnamdi,Okoye,M,BG-008,02/23/1992,Engineer,Current,1
BG-006-1027,Ebuka,Uzochukwu,M,BG-006,12/31/1994,Welder,Savings,1
BG-009-1060,Uchenna,Amaechi,M,BG-009,11/30/1994,Data Analyst,Current,1
AT-013-1092,Nneka,Emeka,M,AT-013,01/16/1980,Manager,Savings,0
AN-005-1037,Niyi,Okafor,M,AN-005,10/18/1989,Electrician,Current,1
AN-005-1026,Abubakar,Mustapha,F,AN-005,05/14/1993,Health Professional,Savings,1
AN-006-1006,Oluwakemi,Adeleke,F,AN-006,4/6/1992,Health Professional,Current,1
AN-006-1023,Suleiman,Rukayya,M,AN-006,3/3/1985,Factory Worker,Savings,1
RS-003-1018,Ifeoma,Ibezim,F,RS-003,08/31/1978,Human Resources Specialist,Savings,1
BG-009-1092,Ogochukwu,Egbu,M,BG-009,02/22/1985,Electrician,Current,0
AN-005-1023,Abdulrahman,Fati,F,AN-005,05/31/2003,Health Professional,Current,1
VC-004-1063,Haruna,Musa,F,VC-004,04/20/1987,Human Resources Specialist,Savings,1
VC-008-1081,Sani,Umar,F,VC-008,7/11/1994,Accountant,Savings,1
BG-001-1102,Ikechukwu,Anya,M,BG-001,8/9/1986,Welder,Current,1
AN-002-1023,Rukayat,Zara,F,AN-002,4/7/1998,Health Professional,Savings,0
RS-007-1030,Josephine,Briggs,F,RS-007,9/12/1994,Health Professional,Savings,1
VC-009-1062,Bashir,Aliyu,M,VC-009,5/6/1997,Accountant,Savings,0
BG-001-1089,Chisom,Okoli,F,BG-001,09/15/1992,Trader,Current,1
AN-005-1035,Enitan,Ngozi,F,AN-005,11/23/1993,Marketing Executive,Current,1
RS-001-1051,Oluwaseyi,Olawale,F,RS-001,1/8/1983,Data Analyst,Savings,1
AT-015-1276,Chibueze,Oluwagbemiga,M,AT-015,5/4/2001,Student,Savings,0
BG-008-1063,Chiamaka,Ezeani,F,BG-008,01/28/1990,Data Analyst,Savings,1
VC-003-1177,Umar,Salma,F,VC-003,04/25/1995,Lawyer,Current,1
BG-008-1045,Emeka,Onyekwere,M,BG-008,11/22/1992,Mechanic,Savings,1
AN-005-1036,Omolabake,Mohammed,F,AN-005,12/1/1988,Engineer,Savings,1
AN-005-1002,Emeka,Nwosu,M,AN-005,10/29/1986,Electrician,Savings,1
RS-004-1094,Juliet,Nwachukwu,F,RS-004,09/26/1978,Accountant,Current,1
VC-010-1173,Rukayat,Musa,M,VC-010,9/1/1987,Health Professional,Current,1
VC-010-1097,Musa,Farouk,F,VC-010,2/6/1998,Accountant,Savings,1
AT-010-1118,Cornelius,Nwachukwu,M,AT-010,3/9/1987,Data Analyst,Current,1
BG-009-1012,Ugochukwu,Onwuka,M,BG-009,8/7/1993,Electrician,Savings,0
AT-011-1044,Nkele,Ayodele,M,AT-011,3/3/1986,Health Professional,Current,1
VC-002-1106,Fati,Yusuf,M,VC-002,1/5/1998,Engineer,Current,1
BG-009-1066,Uchenna,Okeke,F,BG-009,9/3/1997,Engineer,Current,1
AN-001-1042,Adebowale,Oluwatobiloba,M,AN-001,09/14/2002,Carpenter,Savings,1
RS-001-1017,Mary,Briggs,F,RS-001,1/4/1991,Software Developer,Current,1
RS-003-1027,Chinedu,Amadi,M,RS-003,10/24/1998,Engineer,Savings,1
AT-009-1007,Deji,Ogundele,M,AT-009,8/2/1985,Factory Worker,Current,1
RS-008-1098,Chisom,Adeyemo,F,RS-008,02/22/1996,Manager,Current,1
AT-013-1235,Adenike,Okafor,F,AT-013,11/1/1995,Manager,Current,1
BG-009-1082,Chizoba,Obasi,F,BG-009,11/12/1989,Data Analyst,Savings,1
BG-001-1007,Oluoma,Okezie,F,BG-001,03/22/1978,Accountant,Savings,1
VC-004-1187,Fadila,Amina,F,VC-004,11/21/1985,Health Professional,Current,0
AT-013-1211,Habiba,Okpara,M,AT-013,02/20/1993,Construction Worker,Current,1
RS-005-1031,Godwin,Wachukwu,M,RS-005,9/3/1986,Electrician,Current,1
AN-006-1004,Adebayo,Adeyemi,M,AN-006,12/1/1982,Health Professional,Savings,1
VC-010-1181,Abdulrahman,Nura,M,VC-010,06/24/1990,Plumber,Current,1
AT-012-1053,Olufemi,Ajayi,F,AT-012,6/12/1988,Engineer,Current,0
AN-002-1014,Obinna,Ezeanya,M,AN-002,10/18/2002,Farmer,Savings,1
AT-013-1032,Chisom,Adebisi,M,AT-013,10/25/1987,Farmer,Current,1
VC-002-1029,Rukayya,Usman,M,VC-002,3/5/1997,Mechanic,Savings,1
RS-009-1001,Chiamaka,Okoroafor,F,RS-009,11/2/1999,Health Professional,Savings,0
BG-007-1071,Ijeoma,Okeke,M,BG-007,4/1/1998,Data Analyst,Savings,1
AN-005-1007,Oluwaseun,Adewale,F,AN-005,03/15/1992,Health Professional,Savings,1
AN-005-1003,Oluwaseun,Ogunjobi,F,AN-005,11/16/1994,Human Resources Specialist,Current,0
VC-002-1007,Amina,Yusuf,F,VC-002,2/8/1995,Accountant,Savings,1
BG-009-1074,Nkechi,Nwachukwu,M,BG-009,06/20/1998,Plumber,Current,1
VC-008-1077,Fati,Ibrahim,F,VC-008,02/14/1994,Lawyer,Current,1
BG-005-1080,Ogechukwu,Ugwu,M,BG-005,09/13/1980,Plumber,Current,0
AT-011-1073,Aremu,Onyekachi,M,AT-011,08/21/1980,Mechanic,Current,1
RS-006-1007,Amadi,Akobo,M,RS-006,05/28/1998,Farmer,Current,1
AT-012-1208,Olumide,Oluwaseyi,M,AT-012,12/7/1992,Human Resources Specialist,Savings,1
RS-002-1091,Adaeze,Pepple,M,RS-002,2/7/1991,Carpenter,Savings,1
RS-002-1103,Mary,Okon,F,RS-002,2/10/1989,Software Developer,Savings,0
AN-001-1037,Oluwatimilehin,Igwe,F,AN-001,10/14/1996,Human Resources Specialist,Savings,1
AN-005-1020,Sadiya,Rukayat,M,AN-005,12/16/1993,Human Resources Specialist,Savings,1
VC-009-1159,Musa,Amina,F,VC-009,12/23/1985,Trader,Current,0
AT-002-1004,Anita,Okoye,F,AT-002,04/13/1989,Accountant,Savings,0
VC-008-1025,Maryam,Ibrahim,F,VC-008,08/17/1997,Human Resources Specialist,Current,0
BG-003-1070,Okechukwu,Onyebuchi,F,BG-003,10/31/1994,Marketing Executive,Savings,1
VC-010-1207,Fati,Sadiq,M,VC-010,07/30/1991,Welder,Savings,1
AT-006-1007,Boniface,Onyeka,M,AT-006,12/23/1979,Carpenter,Current,1
RS-002-1035,Collins,Eze,F,RS-002,12/20/1979,Engineer,Current,0
VC-005-1095,Umaru,Yusuf,M,VC-005,11/8/1987,Truck Driver,Current,1
VC-010-1193,Rakiya,Salisu,F,VC-010,1/3/1980,Human Resources Specialist,Current,1
AT-012-1175,Benjamin,Oladipo,M,AT-012,6/4/1981,Construction Worker,Current,1
AN-001-1041,Alice,Ayodele,F,AN-001,02/23/1988,Health Professional,Current,1
BG-005-1024,Chinaza,Onyia,F,BG-005,8/6/1998,Human Resources Specialist,Current,0
AN-003-1029,Daniel,Akinwale,F,AN-003,10/5/1999,Student,Savings,0
RS-010-1028,Ifeanyichukwu,Ugochukwu,M,RS-010,04/13/1983,Factory Worker,Current,1
RS-006-1004,Solomon,Pepple,M,RS-006,2/12/2003,Student,Savings,1
AT-009-1242,Ifeoluwa,Balogun,M,AT-009,04/26/1982,Lawyer,Savings,1
RS-002-1032,Emmanuel,Wike,F,RS-002,08/13/1984,Software Developer,Savings,1
BG-006-1088,Ngozi,Onyema,M,BG-006,08/14/2003,Student,Savings,1
VC-010-1148,Yakubu,Hauwa,F,VC-010,04/26/1990,Human Resources Specialist,Savings,1
AN-004-1043,Iretiola,Okeke,F,AN-004,04/29/1984,Lawyer,Current,1
RS-010-1079,Tari,Maple,F,RS-010,1/9/1996,Trader,Current,1
AN-006-1026,Bridget,Akinsanya,M,AN-006,9/6/1992,Construction Worker,Current,0
BG-004-1012,Ebuka,Ezeoke,M,BG-004,07/21/1982,Marketing Executive,Current,0
RS-008-1045,Sandra,Amadi,M,RS-008,4/12/1989,Marketing Executive,Current,1
BG-005-1004,Ifunanya,Uche,F,BG-005,05/16/1998,Marketing Executive,Current,0
AN-001-1031,Damilare,Okoli,F,AN-001,05/13/1991,Trader,Current,1
AT-002-1267,Chika,Aikhomu,F,AT-002,3/5/2001,Student,Savings,0
AN-001-1045,Kikelomo,Oguntade,F,AN-001,01/22/1991,Human Resources Specialist,Savings,1
BG-006-1020,Ebubechukwu,Ojukwu,M,BG-006,7/3/2002,Student,Savings,1
BG-005-1007,Obumneme,Ezeoke,M,BG-005,03/29/1985,Accountant,Current,1
BG-001-1002,Ngozi,Anya,F,BG-001,10/2/1993,Marketing Executive,Current,1
AT-009-1053,Alfred,Dosunmu,F,AT-009,12/16/1987,Manager,Current,0
AT-003-1288,Elizabeth,Okonkwo,F,AT-003,03/25/1990,Accountant,Current,1
VC-009-1167,Musa,Tijjani,F,VC-009,10/6/1995,Health Professional,Savings,0
BG-005-1079,Nnamdi,Eke,F,BG-005,12/15/1993,Marketing Executive,Current,0
AT-014-1033,Oluwatosin,Ige,F,AT-014,6/3/1981,Data Analyst,Current,1
AN-004-1026,Tijjani,Hauwa,M,AN-004,08/26/1996,Manager,Savings,0
AN-002-1011,Temitope,Adebayo,M,AN-002,11/16/1991,Software Developer,Savings,1
BG-009-1069,Obinna,Madu,F,BG-009,2/7/1986,Engineer,Savings,0
RS-005-1106,Emeka,Eze,F,RS-005,12/6/1994,Human Resources Specialist,Savings,1
VC-007-1096,Habiba,Ahmed,M,VC-007,3/10/1991,Farmer,Savings,1
AT-009-1134,Afolabi,Nnaji,F,AT-009,10/12/1987,Lawyer,Current,1
AT-012-1137,Ademiluyi,Balogun,F,AT-012,05/16/1996,Health Professional,Current,1
AN-002-1037,Adebisi,Davies,M,AN-002,5/9/1989,Plumber,Savings,1
AN-006-1018,Mariam,Nasiru,M,AN-006,08/25/1998,Farmer,Current,1
AT-006-1037,Bamidele,Eyo,F,AT-006,6/10/2003,Student,Savings,1
AT-015-1094,Babatunde,Okafor,M,AT-015,07/25/1998,Student,Savings,1
AT-015-1145,Ekanem,Gbadamosi,F,AT-015,09/14/1998,Accountant,Savings,0
VC-002-1126,Abubakar,Lawal,F,VC-002,03/28/1989,Health Professional,Current,1
RS-008-1065,Anayo,Amaechi,M,RS-008,12/6/1990,Health Professional,Current,1
RS-005-1114,Esther,Brown,M,RS-005,01/22/2003,Student,Savings,1
AT-007-1048,Ifeoluwa,Gbenga,M,AT-007,12/22/1987,Manager,Savings,1
AT-011-1079,Oluwatimilehin,Nkele,F,AT-011,08/20/1990,Manager,Current,1
VC-004-1207,Usman,Hauwa,F,VC-004,8/2/1995,Engineer,Savings,1
